      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000
      1.1000      0.9118      1.2450      1.1691      1.0649      0.9989      1.0011
      1.2000      0.8422      1.5133      1.3416      1.1280      0.9928      1.0073
      1.3000      0.7860      1.8050      1.5157      1.1909      0.9794      1.0211
      1.4000      0.7397      2.1200      1.6897      1.2547      0.9582      1.0436
      1.5000      0.7011      2.4583      1.8621      1.3202      0.9298      1.0755
      1.6000      0.6684      2.8200      2.0317      1.3880      0.8952      1.1171
      1.7000      0.6405      3.2050      2.1977      1.4583      0.8557      1.1686
      1.8000      0.6165      3.6133      2.3592      1.5316      0.8127      1.2305
      1.9000      0.5956      4.0450      2.5157      1.6079      0.7674      1.3032
      2.0000      0.5774      4.5000      2.6667      1.6875      0.7209      1.3872
      2.1000      0.5613      4.9783      2.8119      1.7705      0.6742      1.4832
      2.2000      0.5471      5.4800      2.9512      1.8569      0.6281      1.5920
      2.3000      0.5344      6.0050      3.0845      1.9468      0.5833      1.7144
      2.4000      0.5231      6.5533      3.2119      2.0403      0.5401      1.8514
      2.5000      0.5130      7.1250      3.3333      2.1375      0.4990      2.0039
      2.6000      0.5039      7.7200      3.4490      2.2383      0.4601      2.1733
      2.7000      0.4956      8.3383      3.5590      2.3429      0.4236      2.3608
      2.8000      0.4882      8.9800      3.6636      2.4512      0.3895      2.5676
      2.9000      0.4814      9.6450      3.7629      2.5632      0.3577      2.7954
      3.0000      0.4752     10.3333      3.8571      2.6790      0.3283      3.0456
      3.1000      0.4695     11.0450      3.9466      2.7986      0.3012      3.3199
      3.2000      0.4643     11.7800      4.0315      2.9220      0.2762      3.6202
      3.3000      0.4596     12.5383      4.1120      3.0492      0.2533      3.9483
      3.4000      0.4552     13.3200      4.1884      3.1802      0.2322      4.3062
      3.5000      0.4512     14.1250      4.2609      3.3151      0.2129      4.6960
      3.6000      0.4474     14.9533      4.3296      3.4537      0.1953      5.1200
      3.7000      0.4439     15.8050      4.3949      3.5962      0.1792      5.5806
      3.8000      0.4407     16.6800      4.4568      3.7426      0.1645      6.0801
      3.9000      0.4377     17.5783      4.5156      3.8928      0.1510      6.6213
      4.0000      0.4350     18.5000      4.5714      4.0469      0.1388      7.2069
      4.1000      0.4324     19.4450      4.6245      4.2048      0.1276      7.8397
      4.2000      0.4299     20.4133      4.6749      4.3666      0.1173      8.5227
      4.3000      0.4277     21.4050      4.7229      4.5322      0.1080      9.2591
      4.4000      0.4255     22.4200      4.7685      4.7017      0.0995     10.0522
      4.5000      0.4236     23.4583      4.8119      4.8751      0.0917     10.9054
      4.6000      0.4217     24.5200      4.8532      5.0523      0.0846     11.8222
      4.7000      0.4199     25.6050      4.8926      5.2334      0.0781     12.8065
      4.8000      0.4183     26.7133      4.9301      5.4184      0.0721     13.8620
      4.9000      0.4167     27.8450      4.9659      5.6073      0.0667     14.9928
      5.0000      0.4152     29.0000      5.0000      5.8000      0.0617     16.2032
